strategy,online_boutique_replicas,online_boutique_std,social_network_replicas,social_network_std,train_ticket_replicas,train_ticket_std
Random,8.7,0.4,12.3,0.5,18.5,0.7
RoundRobin,8.5,0.3,12.1,0.4,18.2,0.6
WeightRR,6.4,0.3,9.8,0.4,14.2,0.5
CPU-P2C,6.2,0.2,9.5,0.3,13.8,0.5
LL,6.5,0.3,9.9,0.4,14.5,0.6
LL-P2C,6.3,0.2,9.6,0.3,14,0.5
YARP-P2C,5.9,0.3,8.8,0.4,12.7,0.6
Linear,5.7,0.2,8.4,0.3,12.1,0.4
C3,5.4,0.2,8.1,0.3,11.5,0.4
Prequal,5.2,0.3,7.9,0.4,11.2,0.5
RingHash,5.8,0.3,8.6,0.4,12.5,0.5
Maglev,5.7,0.2,8.5,0.3,12.3,0.4
Ours,3.9,0.1,5.7,0.2,8.1,0.3
