timestamp,pod_name,cpu_usage,memory_usage
2025-03-29 03:02:59,adservice-78bb57dfbd-qlv75,28m,128Mi
2025-03-29 03:02:59,cartservice-5b68c68477-hm8dm,50m,95Mi
2025-03-29 03:02:59,checkoutservice-854f5747fd-khqzm,37m,54Mi
2025-03-29 03:02:59,currencyservice-7d8f79889b-cljl5,85m,80Mi
2025-03-29 03:02:59,emailservice-6787c86dcd-7qmsx,15m,85Mi
2025-03-29 03:02:59,frontend-6659c9d65f-92czd,245m,59Mi
2025-03-29 03:02:59,loadgenerator-5d95b8b6f-hqhbt,37m,88Mi
2025-03-29 03:02:59,paymentservice-7fb78c9cdb-dpzlk,14m,65Mi
2025-03-29 03:02:59,productcatalogservice-589d6845fd-5v6pn,137m,55Mi
2025-03-29 03:02:59,recommendationservice-6cf78cdb66-9nvrf,60m,85Mi
2025-03-29 03:02:59,redis-cart-bf5c68f69-fkddf,24m,48Mi
2025-03-29 03:02:59,shippingservice-584657c6cb-kbbzp,23m,56Mi
